freq,am_item,indic_agr,unit,geo\TIME_PERIOD,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
A,AM010000,PRD_BP,MIO_NAC,CH,,,,,,,,,,,,,1015.82,943.57,921.45,1181.47,1345.88,1138.66,1166.06,1043.82,1040.86,953.25,904.49,803.94,775.46,751.01,624.31,619.96,485.69,504.5,413.15,493.78,449.46,444.02,461.98,450.0,386.49,375.32,387.47,372.22,344.27,369.09,371.47,301.44,383.39,348.62,384.58,409.89,351.6,413.44,379.92,292.26,430.89
A,AM010000,PRD_BP,MIO_NAC,CY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.47,18.39,10.56,11.41,9.95,2.12,9.51,9.92,10.01,10.71,12.52,1.83,18.65,3.19,7.18,5.84,12.64,12.29,12.62,22.02,15.01,9.36,8.15
A,AM010000,PRD_BP,MIO_NAC,CZ,,,,,,,,,,,,,,,,,,,,,,,,,,21942.96,18779.23,19642.95,26851.71,22006.66,18825.91,29984.98,20087.53,18973.07,30612.14,26432.56,18766.75,24599.14,32702.5,32361.62,32548.88,33964.6,32936.39,31324.35,28577.11,30263.53,31299.06,34511.38,45833.27,55339.41,38787.28,36308.68,39349.05
A,AM010000,PRD_BP,MIO_NAC,DE,,,,,,,,,,,,,,,,,,,6319.5,5653.9,6143.47,6524.8,7324.56,7801.84,7692.15,7167.51,7027.33,7615.89,8140.23,7073.74,6946.95,7927.29,4216.8,4706.86,7085.88,8203.66,5358.0,4882.02,7445.99,7932.24,8155.48,7302.47,6703.8,5493.43,6439.3,5557.11,6820.83,7320.77,8984.84,12461.45,8394.67,6746.31,7197.82
A,AM010000,PRD_BP,MIO_NAC,DK,4414.59,5292.1,4937.18,5485.55,7185.45,7387.68,8090.29,8135.88,9397.29,11408.51,9968.19,13386.7,11276.19,11252.79,9749.3,10088.56,11415.77,11351.32,11148.53,8720.72,10317.68,10225.5,12132.65,12188.68,11865.94,10939.77,10161.52,11293.92,11776.4,10435.12,10959.35,11007.15,7142.66,8068.84,12640.67,9468.68,7166.16,12136.3,12633.38,14513.42,9711.58,10116.67,12155.96,8410.67,10106.41,9784.45,10279.98,11525.04,14412.55,20256.22,11487.88,11565.34,12929.88
A,AM010000,PRD_BP,MIO_NAC,EA,,,,,,,,,,,,,,,,,,,26858.41,24689.42,25513.99,25583.39,27725.78,31310.8,29566.38,28542.06,27525.85,29304.33,30415.78,30334.55,29346.56,32113.71,22953.61,21953.8,33028.98,31936.81,23119.12,28010.25,33989.95,36915.22,33764.77,31485.9,31675.29,26475.83,27885.27,29462.46,30931.83,32401.61,42338.1,52163.87,37615.25,32302.62,34650.54
A,AM010000,PRD_BP,MIO_NAC,EA21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24748.11,23758.4,35556.17,35050.26,25027.39,30246.07,36733.36,40299.63,36671.64,34055.79,33219.36,28040.25,29455.55,31305.23,32824.75,34181.88,45176.97,55818.2,39713.63,34046.89,36413.11
A,AM010000,PRD_BP,MIO_NAC,EE,,,,,,,,,,,,,,,,,,,,,,,26.56,62.83,49.62,38.43,26.99,61.21,45.56,47.67,48.08,67.91,73.39,86.56,167.5,86.89,80.26,107.83,125.76,208.32,146.18,175.88,211.29,111.69,175.9,149.05,222.01,244.15,257.9,394.69,233.36,237.09,239.22
A,AM010000,PRD_BP,MIO_NAC,EL,,,,,,,,,,,,,,,,,,,,,900.04,1014.68,1099.64,1071.62,1174.37,1119.23,1052.93,1166.67,1247.18,1185.67,1213.04,1172.04,1155.81,756.6,1181.43,1049.82,865.44,871.44,991.43,999.99,890.28,828.43,822.49,749.02,688.41,635.69,624.09,654.99,853.48,1160.12,1052.93,706.0,722.36
A,AM010000,PRD_BP,MIO_NAC,ES,,,,,,,,,,,,,,,,,,2574.81,2841.27,2115.46,3305.63,2769.91,2682.45,4177.54,3740.33,3999.58,3464.32,4316.36,3786.05,4093.4,4190.64,4652.84,3101.1,2906.67,5322.15,4234.71,2832.55,3679.61,4449.25,4011.1,4421.59,3586.85,3607.41,3841.08,2966.52,4342.57,3621.2,4780.21,6157.87,6154.88,2860.0,4571.0,5244.11
A,AM010000,PRD_BP,MIO_NAC,EU,,,,,,,,,,,,,,,,,,,,,32098.8,32153.46,35394.77,39524.19,37595.02,35650.5,34268.11,36668.99,36010.32,36142.04,34848.54,37940.67,32233.68,31484.3,49477.5,52171.15,35684.55,43314.14,55407.44,57784.72,55059.45,52048.51,49671.51,43268.96,46264.12,48827.42,51441.97,47948.91,64177.39,79633.84,58341.05,48953.56,53400.54
A,AM010000,PRD_BP,MIO_NAC,EU27_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32918.16,31774.53,47230.29,48771.03,33582.9,41274.16,52311.62,54491.34,51097.28,47782.84,45741.63,40227.34,42739.44,45152.12,47264.39,47948.91,64177.39,79633.84,58341.05,48953.56,53400.54
A,AM010000,PRD_BP,MIO_NAC,EU27_2020_EFTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47837.33,49432.42,34138.2,41908.12,52987.77,55217.24,51749.76,48523.68,46545.55,40941.21,43525.82,45725.01,48063.09,48760.34,64920.41,80656.18,59110.18,49745.51,54345.27
A,AM010000,PRD_BP,MIO_NAC,FI,,,364.6,405.3,286.0,298.9,370.0,530.3,481.1,758.6,977.1,985.7,1033.2,1025.0,669.2,820.2,1200.7,1350.0,954.8,776.6,921.3,733.3,562.9,634.5,634.8,501.9,510.8,706.3,655.0,666.8,640.2,612.1,652.4,437.4,715.6,590.2,416.0,466.5,601.77,651.9,686.17,530.32,481.24,437.0,437.58,431.51,630.57,471.75,437.6,1040.65,630.94,618.09,633.91
A,AM010000,PRD_BP,MIO_NAC,FR,3282.9,3854.0,3401.1,3587.4,4459.3,5460.5,5671.0,6615.2,7009.2,8494.4,8745.5,10295.5,9618.0,8872.0,8750.5,8961.8,9638.2,9102.5,9668.5,9646.2,8364.4,8801.6,9721.7,10558.9,10297.5,10192.4,9755.5,9767.4,9644.4,10158.1,9623.5,10072.8,9343.5,8208.2,11850.7,10751.6,8450.1,11727.1,12037.1,14639.3,11852.5,11206.6,11220.9,8003.17,9846.95,10626.38,10939.69,10127.81,14631.15,16435.74,13111.92,9662.07,10365.66
A,AM010000,PRD_BP,MIO_NAC,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.5,399.93,584.99,569.53,481.1,583.18,618.06,652.86,451.07,380.8,318.66,364.99,320.8,392.89,387.04,446.78,573.69,849.71,508.05,548.53,550.81
A,AM010000,PRD_BP,MIO_NAC,HU,,,,,,,,,,,,,,,,,,,,,,,,,244693.5,194964.86,202338.53,272545.21,284303.38,286964.7,278098.96,450060.22,399234.67,409485.73,456242.56,570158.11,393047.03,459926.68,667211.34,609028.45,668081.94,733183.0,640968.21,692499.36,617926.61,713753.25,748421.58,821488.97,1016206.14,1114157.74,1170102.19,900768.53,941459.52
A,AM010000,PRD_BP,MIO_NAC,IE,,,,,,,,,,,,,,,,,,251.92,253.15,255.0,242.02,240.78,301.1,331.03,294.6,277.76,296.21,327.16,339.38,289.24,342.33,347.59,187.57,220.84,341.52,279.85,158.19,292.44,389.71,419.26,379.08,372.72,380.93,304.81,325.07,361.72,371.0,333.17,491.82,824.58,430.19,433.05,422.26
A,AM010000,PRD_BP,MIO_NAC,IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.99,525.99,669.35,733.09,633.6,1010.19,763.41,881.25,475.11,284.61,360.35,254.4,481.51,327.29,380.41,713.73,473.5,357.46,583.14
A,AM010000,PRD_BP,MIO_NAC,IT,,,,,,,,2280.41,2677.3,2971.11,3277.28,3824.25,3378.71,3659.46,3485.82,3318.0,3328.12,3349.9,3610.9,3668.0,4255.26,4308.3,5010.09,5308.87,5052.25,4804.76,4727.79,4750.46,4729.07,5025.13,4481.18,5524.47,3180.75,3381.86,4416.62,4962.78,3235.92,3608.42,5133.69,4728.59,4550.69,4563.47,4227.63,4034.01,3500.59,3680.16,3691.71,4002.02,5174.42,6282.18,5222.6,4218.2,4461.07
A,AM010000,PRD_BP,MIO_NAC,LT,,,,,,,,,,,,,,,,,,,,,,,215.4,440.5,419.4,267.7,232.9,255.8,218.9,250.4,247.8,331.8,322.8,284.4,585.4,634.0,487.1,479.54,686.87,1031.79,878.41,863.23,1052.61,811.08,881.4,813.06,966.86,1209.86,1198.89,1828.46,1378.21,1243.46,1251.87
